,index,location,beer_name,beer_id,style,brewery_name,count,cumulated_rating,normalized_rating,count_user
0,0,Abkhazia,Dieu du Ciel Rigor Mortis Abt,16689,Abt/Quadrupel,Dieu du Ciel,1,5.0,5.0,3
1,6,Afghanistan,A. Le Coq Pils,139533,Czech Pilsner (Světlý),Lidskoe Pivo (Olvi),1,4.8,4.8,8
2,29,Albania,Birra Tirana,5423,Pale Lager,Birra Malto,1,2.4,2.4,4
3,35,Algeria,3 Fonteinen Oude Geuze,11168,Lambic Style - Gueuze,Brouwerij 3 Fonteinen,1,1.7,1.7,2
4,72,American Samoa,Jacob Best Premium Light Beer,10638,Pale Lager,Miller Brewing Company &#40;MillerCoors&#41;,1,5.0,5.0,1
5,144,Andorra,Estrella Damm (5.4%),8572,Pale Lager,Damm,2,3.4000000000000004,1.7000000000000002,9
6,234,Antigua and Barbuda,Jászapáti Blonder Bier Lados-Habos Világos Sör,120074,Pale Lager,Lados Sörfőzde - Jászapáti Blonder Bier Sörfőzde,1,4.5,4.5,1
7,569,Argentina,Quilmes Cristal,7485,Pale Lager,Cerveceria Malteria Quilmes SAICAY (InBev),13,21.6,1.6615384615384616,76
8,661,Armenia,Aleksandrapol Premium Beer,143008,Pale Lager,Shirak Gyumri Beer-Malt Factory CJSC,1,3.3,3.3,3
9,856,Ascension Island,Meantime Coffee Porter,40803,Baltic Porter,Meantime &#40;Asahi&#41;,2,5.800000000000001,2.9000000000000004,3
10,12438,Australia,Little Creatures Pale Ale,7658,American Pale Ale,Little Creatures Brewing (Lion Co.),199,741.5,3.7261306532663316,1476
11,22903,Austria,Bevog Kramah India Pale Ale,213316,India Pale Ale (IPA),Bevog Brewery,15,56.1,3.74,126
12,29999,Azerbaijan,33 Export,41043,Pale Lager,Heineken (France),1,4.3,4.3,5
13,30013,Bahamas,Kalik,8682,Pale Lager,Commonwealth Brewery (Heineken),3,5.4,1.8,7
14,30017,Bangladesh,AleSmith Speedway Stout,14232,Imperial Stout,AleSmith Brewing Company,1,3.1,3.1,2
15,30032,Barbados,10 Saints Hand Crafted Beer Aged in Rum Casks,177085,Premium Lager,10 Saints Brewery Company LTD,1,4.9,4.9,2
16,30975,Belarus,Brew Team Cafe com Leite,412691,Sweet Stout,Brew Team Brewery,7,27.3,3.9,22
17,64710,Belgium,Westvleteren 12 (XII),4934,Abt/Quadrupel,Westvleteren Abdij St. Sixtus,221,1002.3,4.535294117647059,1027
18,65971,Belize,Balboa,8759,Pale Lager,Cerveceria Nacional Panama (SABMiller),1,2.5,2.5,3
19,65977,Bermuda,10e Anniversaire - Microbrasserie Archibald (AB InBev),486376,Belgian Strong Ale,Microbrasserie Archibald &#40;AB InBev&#41;,1,5.0,5.0,2
20,67563,Bolivia,Budweiser,473,Pale Lager,Anheuser-Busch InBev,2,2.4,1.2,5
21,68389,Bosnia and Herzegovina,Nektar Pivo,11513,Pale Lager,Banjalučka Pivara,5,16.3,3.2600000000000002,32
