,Unnamed: 0,index,location,beer_name,beer_id,style,brewery_name,count,cumulated_rating,normalized_rating,neg_words,pos_words
0,0,0,Abkhazia,No beer with enough votes,-1,-,-,1,3.4188764911269764,0.0,1.5,2.833333333333333
1,1,6,Afghanistan,No beer with enough votes,-1,-,-,1,3.185543157793642,0.0,1.4545454545454546,2.636363636363636
2,2,29,Albania,No beer with enough votes,-1,-,-,1,3.252209824460309,0.0,0.3333333333333333,2.5
3,3,35,Algeria,No beer with enough votes,-1,-,-,1,2.3133209355714204,0.0,0.8928571428571429,1.9642857142857144
4,4,72,American Samoa,No beer with enough votes,-1,-,-,1,3.2855431577936427,0.0,0.0,1.0
5,5,73,Andorra,No beer with enough votes,-1,-,-,1,4.0252378142821925,0.0,2.099378881987578,3.919254658385093
6,6,234,Antigua and Barbuda,No beer with enough votes,-1,-,-,1,3.2855431577936427,0.0,0.0,0.0
7,7,569,Argentina,Quilmes Cristal,7485,Pale Lager,Cerveceria Malteria Quilmes SAICAY (InBev),13,29.7632007144997,2.2894769780384383,0.4054054054054054,0.920608108108108
8,8,661,Armenia,No beer with enough votes,-1,-,-,1,3.2855431577936427,0.0,0.6,2.2
9,9,666,Ascension Island,No beer with enough votes,-1,-,-,1,3.808902737846136,0.0,1.4987212276214834,2.790281329923274
10,10,16548,Australia,Redoak Baltic Porter,50112,Baltic Porter,Redoak Boutique Beer Cafe,14,61.24732993889495,4.37480928134964,2.015767473311067,3.690756715775669
11,11,27992,Austria,Rochefort Trappistes 10,2360,Abt/Quadrupel,Brasserie Rochefort,11,46.72640072161588,4.247854611055988,2.298718765484533,3.1007998867417004
12,12,29999,Azerbaijan,No beer with enough votes,-1,-,-,1,3.7355431577936415,0.0,0.8333333333333334,3.25
13,13,30011,Bahamas,No beer with enough votes,-1,-,-,1,3.2855431577936427,0.0,0.75,2.25
14,14,30017,Bangladesh,No beer with enough votes,-1,-,-,1,2.528400300650786,0.0,2.6666666666666665,2.466666666666667
15,15,30032,Barbados,No beer with enough votes,-1,-,-,1,3.2855431577936427,0.0,0.0,2.0
16,16,30035,Belarus,No beer with enough votes,-1,-,-,1,4.311211606991504,0.0,1.4072696050372069,1.7489982827704635
17,17,35523,Belgium,3 Fonteinen Zenne y Frontera,358322,Lambic Style - Unblended,Brouwerij 3 Fonteinen,14,62.05262373606757,4.432330266861969,1.971649419854608,2.695547059955328
18,18,65971,Belize,No beer with enough votes,-1,-,-,1,3.2105431577936425,0.0,1.1666666666666667,1.3333333333333333
19,19,65977,Bermuda,No beer with enough votes,-1,-,-,1,5.0,0.0,1.914001421464108,2.982231698649609
20,20,67449,Bolivia,No beer with enough votes,-1,-,-,1,3.635949661858683,0.0,2.482039397450753,4.032444959443801
