,Unnamed: 0,index,location,beer_name,beer_id,style,brewery_name,count,cumulated_rating,normalized_rating,count_user,neg_words,pos_words
19,19,65977,Bermuda,10e Anniversaire - Microbrasserie Archibald (AB InBev),486376,Belgian Strong Ale,Microbrasserie Archibald &#40;AB InBev&#41;,1,5.0,5.0,2,1.914001421464108,2.982231698649609
20,20,67563,Bolivia,Budweiser,473,Pale Lager,Anheuser-Busch InBev,2,2.4,1.2,5,2.482039397450753,4.032444959443801
21,21,68389,Bosnia and Herzegovina,Nektar Pivo,11513,Pale Lager,Banjalučka Pivara,5,16.3,3.26,32,0.6620689655172414,1.3655172413793104
22,22,68437,Botswana,Chibuku Shake Shake Bojalwa Jwa Rona,54301,Traditional Ale,Botswana Breweries (SABMiller),2,8.9,4.45,5,0.1428571428571428,3.2857142857142856
23,23,70599,Brazil,Hoegaarden,399,Witbier,Brouwerij Hoegaarden (AB-InBev),59,214.7,3.6389830508474574,810,0.509857766511759,1.1394169835234471
24,24,72904,Bulgaria,Stolichno Bock,37568,Dunkler Bock,Pivovarna Zagorka (Heineken),8,30.0,3.75,44,0.8664987405541562,2.0125944584382878
25,25,72965,Burkina Faso,Herrnbräu Premium Pils,8258,Pilsener,Herrnbräu Bürgerliches Brauhaus &#40;BHB&#41;,1,0.5,0.5,1,0.0,2.0
26,26,72967,Burundi,Simba Tembo Bière,32072,Amber Lager/Vienna,Bracongo (Unibra),1,4.2,4.2,1,1.0,3.0
27,27,73894,Cambodia,Kingdom Pilsener,121675,Czech Pilsner (Světlý),Kingdom Breweries (Cambodia),7,28.4,4.057142857142857,10,2.1009127789046653,4.240872210953347
28,28,145302,Canada,St-Ambroise Oatmeal Stout,839,Stout,McAuslan Brewing &#40;Brasseurs RJ&#41;,418,1723.6,4.123444976076555,3255,1.7526395026953523,3.170998980136953
29,29,158445,Cayman Islands,Caybrew,72873,Pale Lager,The Cayman Islands Brewery Ltd.,3,12.7,4.233333333333333,5,0.6363636363636364,2.4545454545454546
30,30,158854,Chile,Cerveza Cristal (Chile),7073,Pale Lager,Compania Cervecerias Unidas (Heineken),18,22.6,1.2555555555555555,94,2.086968375136314,3.936477644492912
31,31,160567,China,Boulevard Smokestack Series: Tank 7 Farmhouse Ale,102933,Saison,Boulevard Brewing Company &#40;Duvel-Moortgat&#41;,4,15.1,3.775,59,1.21306032097399,1.8029883785279468
32,32,162055,Colombia,Bogotá Beer Company (BBC) Chapinero Porter,41117,Porter,Bogotá Beer Company (AB InBev),4,14.5,3.625,29,1.2410714285714286,3.7291666666666665
33,33,162327,Costa Rica,Costa Ricas Segua Red Ale,136438,Irish Ale,Costa Ricas Craft Brewing Co.,4,18.0,4.5,16,1.1428571428571428,2.952380952380953
34,34,172930,Croatia,Tomislav Crno Pivo,11904,Baltic Porter,Zagrebačka Pivovara (MolsonCoors),48,168.1,3.502083333333333,155,1.93302946443106,2.5192251342992025
35,35,174306,Cuba,Blonde Beer (Selex),48647,Pale Lager,Castello di Udine Spa,1,2.3,2.3,1,Unknown,Unknown
36,36,175099,Cyprus,KEO,10508,Pale Lager,KEO,13,32.4,2.4923076923076923,28,1.079503105590062,1.7469979296066254
37,37,184691,Czech Republic,Pilsner Urquell,717,Czech Pilsner (Světlý),Plzensky Prazdroj (Asahi),34,122.6,3.605882352941176,151,1.3276585636234064,2.065523794441365
38,38,189112,Dem Rep of Congo,Simba Bière du Lion,13583,Pale Lager,Brasseries Simba,1,3.8,3.8,2,1.5,3.5
39,39,255345,Denmark,Thisted Limfjords Porter,7357,Baltic Porter,Thisted Bryghus,208,810.6,3.8971153846153848,1031,1.487216837544587,2.210909211637544
40,40,266282,Dominican Republic,Presidente,7624,Pale Lager,Cervecería Nacionál Dominicana (AB-Inbev),4,13.5,3.375,8,0.1576576576576576,0.0951576576576576
41,41,266732,East Timor,McEwans Export,878,Bitter,Charles Wells &#40;Marstons&#41;,1,0.8,0.8,1,3.0,3.6666666666666665
42,42,266989,Ecuador,Pilsener (Ecuador),13140,Pale Lager,Cervecería Nacional Ecuador (SABMiller),7,16.4,2.3428571428571425,15,1.1018518518518516,2.384259259259259
43,43,267103,Egypt,Luxor Nubia,71661,Foreign Stout,Egyptian International Beverages Co.,1,5.0,5.0,5,0.4,2.0
44,44,268670,El Salvador,Pilsener of El Salvador,3371,Pale Lager,Cerveceria La Constancia (SABMiller),9,26.1,2.9000000000000004,22,0.6924564796905223,1.5686653771760155
45,45,344126,England,Thornbridge Jaipur,48795,India Pale Ale (IPA),Thornbridge,196,737.7,3.763775510204082,2734,1.727494074652449,2.984894406379509
46,46,369858,Estonia,Põhjala Virmalised,262106,India Pale Ale (IPA),Põhjala,34,126.4,3.717647058823529,134,2.0707684391759518,3.1450594684451127
47,47,375879,Falkland Islands,Peregrina Stellae Session IPA,352125,India Pale Ale (IPA),Compañia Cervecera Peregrina,1,3.8,3.8,1,2.0,5.0
48,48,382534,Faroe Islands,Restorffs Jóla Trøllið (Föroya Bjór),81242,Amber Lager/Vienna,Föroya Bjór,3,9.3,3.1,9,1.765963026091517,3.5282548839648618
49,49,385335,Fiji Islands,Fiji Gold,7276,Pale Lager,Paradise Beverages (CUB),1,2.9,2.9,1,1.0,3.0
50,50,419334,Finland,Sinebrychoff Koff Porter,7231,Baltic Porter,Sinebrychoff (Carlsberg),112,442.0,3.946428571428572,452,1.5216412048100112,2.219642160659646
51,51,439754,France,Tripel Karmeliet,5368,Abbey Tripel,Brouwerij Bosteels (AB-InBev),76,302.0,3.973684210526316,539,0.9544058994003042,1.6232819718229032
52,52,440902,French Guiana,Gaverhopke Den Twaalf,26112,Abt/Quadrupel,t Gaverhopke,1,1.4,1.4,1,0.6666666666666666,0.3333333333333333
53,53,483109,Germany,Schneider Weisse Aventinus,2224,Weizen Bock,Schneider Weisse G. Schneider & Sohn GmbH,102,414.9,4.067647058823529,891,1.2542733142003717,1.8849915493485276
54,54,495299,Ghana,Arrogant Double Bastard Ale,11243,American Strong Ale,Arrogant Brewing,1,4.2,4.2,2,2.0,4.25
55,55,499206,Greece,Satyr Brews Menace IPA,460001,India Pale Ale (IPA),Chios Microbrewery,25,105.5,4.22,166,1.4873714796602593,2.5400089405453734
56,56,500343,Greenland,ART4 / Neo-Nówka White IPA,365965,India Pale Ale (IPA),Browar Stu Mostów,1,3.4,3.4,1,0.0032573289902279,0.019543973941368
57,57,500665,Guam,Alaskan Amber,13,Altbier,Alaskan Brewing Company,2,7.0,3.5,4,0.7991452991452992,2.3846153846153846
58,58,501103,Guatemala,Brahva,44484,Pale Lager,Cerveceria Rio (InBev),3,7.6,2.5333333333333337,9,1.2560975609756098,2.073170731707317
59,59,501177,Haiti,Oakham Helter Skelter,6309,Premium Bitter/ESB,Oakham,1,5.0,5.0,1,1.0,2.0
60,60,501178,Hawaii,Lazy Magnolia Southern Pecan,44781,Brown Ale,Lazy Magnolia Brewing Company,1,4.1,4.1,2,1.0,3.5
61,61,501180,Honduras,Amstel Light,39,Pale Lager,Heineken Nederland,1,2.9,2.9,1,2.1333333333333333,4.333333333333333
62,62,501234,Hong Kong,8 Wired HopWired IPA,114480,India Pale Ale (IPA),8 Wired Brewing,9,36.5,4.055555555555555,32,5.774423171330388,10.776386843397152
63,63,507846,Hungary,Keserű Méz,144881,India Style Lager,Fóti Kézműves Sörfőzde,36,124.6,3.461111111111111,229,1.0732415709054173,1.8690070295070929
64,64,514286,Iceland,Ölvisholt Lava,98129,Smoked,Ölvisholt Brugghús,9,37.9,4.211111111111111,54,1.280667320902846,2.20215897939156
65,65,514732,India,Kingfisher Premium Lager Beer,214,Pale Lager,United Breweries Group,6,16.3,2.716666666666667,40,1.0108695652173914,2.739130434782609
66,66,515249,Indonesia,Anker Bir Pilsener,15941,Pale Lager,PT Delta (San Miguel),3,6.7,2.2333333333333334,6,0.7069988137603797,0.5290628706998813
67,67,516054,Iran,Southern Star Le Mort Vivant,161345,Bière de Garde,Southern Star Brewing Company,1,1.4,1.4,1,0.0,3.0
68,68,516056,Iraq,Farida Lager Beer,14113,Premium Lager,Eastern Brewery Co.,2,6.0,3.0,2,1.75,1.5
69,69,519031,Ireland,Guinness Draught,1267,Dry Stout,St. Jamess Gate (Diageo),35,130.2,3.72,293,1.911505712830216,3.615894039735099
70,70,523600,Isle of Man,Rochefort Trappistes 10,2360,Abt/Quadrupel,Brasserie Rochefort,2,8.2,4.1,7,1.0895522388059702,2.029850746268657
71,71,529018,Israel,Goldstar,9228,Amber Lager/Vienna,Tempo Beer,23,67.1,2.917391304347826,78,1.6567925420522869,1.9603458758359795
72,72,553742,Italy,Rochefort Trappistes 10,2360,Abt/Quadrupel,Brasserie Rochefort,101,454.1,4.496039603960396,924,0.9958866544789764,1.8464604915701808
73,73,558601,Ivory Coast,Birranova Margose,303865,Grodziskie/Gose/Lichtenhainer,Birranova,1,4.3,4.3,1,Unknown,Unknown
74,74,558602,Jamaica,Jamaica Stout,29648,Foreign Stout,Razz Breweries Jamaica Ltd,1,4.0,4.0,1,3.0,6.0
75,75,575188,Japan,Yo-Ho Aooni,89299,India Pale Ale (IPA),Yo-Ho Brewing Company,20,70.3,3.515,118,1.5730808376769576,3.5325232088332355
76,76,575547,Jersey,A1A Ale Works Oktoberfest,52641,Oktoberfest/Märzen,A1A Ale Works,1,4.2,4.2,4,1.684782608695652,2.9239130434782608
77,77,575639,Jordan,Amstel Lager,38,Pale Lager,Heineken Nederland,1,4.2,4.2,3,1.125,2.375
78,78,575647,Kazakhstan,Abdysh-Ata Zhivoe Pivo Svetloe,151568,Zwickel/Keller/Landbier,Abdysh-Ata,1,3.4,3.4,1,1.3142857142857145,2.685714285714285
79,79,575684,Kenya,Atlas Super Strong 12%,84209,Malt Liquor,United Dutch Breweries,1,1.9,1.9,5,1.0,2.6
80,80,575694,Kosovo,Birra Peja Pilsner / Original,90854,Pilsener,Birra Peja,1,3.0,3.0,2,1.5,2.0
81,81,575696,Kyrgyzstan,Seth & Rileys Garage Hard Lemon Tea,417552,Radler/Shandy,Pivzavod Alivaria (Carlsberg),1,4.0,4.0,1,1.0,4.0
82,82,575701,Laos,Beerlao Lager Beer,7068,Pale Lager,Lao Brewery Co (Carlsberg),2,7.4,3.7,2,1.8888888888888888,3.333333333333333
83,83,577750,Latvia,Malduguns Lauvas Pacietība,245966,Imperial IPA,Malduguns,13,52.4,4.030769230769231,78,1.7865186615186617,2.7578828828828827
84,84,579086,Lebanon,Lebanese Brew,147830,Premium Lager,961 Beer - Gravity Brewing,3,11.6,3.8666666666666663,6,1.25,4.166666666666667
85,85,579103,Lesotho,Windhoek Draught,55252,Premium Lager,Namibia Breweries,1,4.6,4.6,1,0.0,2.0
86,86,579104,Liechtenstein,Feldschlösschen Alkoholfrei,193463,Low Alcohol,Feldschlösschen (Carlsberg),1,3.4,3.4,1,0.6,2.6
87,87,580765,Lithuania,vyturys Baltijos Dark Red,1384,Oktoberfest/Märzen,vyturys (Carlsberg),9,27.7,3.077777777777777,49,1.625106022052587,2.99618320610687
88,88,583008,Luxembourg,Simon Dinkel,17796,Specialty Grain,Brasserie Simon,6,15.6,2.6,25,1.7074960127591707,3.47177033492823
89,89,583600,Macau,HeBrew Genesis Dry Hopped Session Ale,164094,American Pale Ale,Shmaltz Brewing Company,1,3.4,3.4,1,2.0,3.5
90,90,583629,Macedonia,Skopsko Svetlo Pivo,11906,Pale Lager,Pivara Skopje (Heineken),5,15.4,3.08,12,1.162790697674419,2.9302325581395348
91,91,584006,Malaysia,Anglia Shandy,56463,Radler/Shandy,Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken),3,4.5,1.5,11,2.8635463100544825,2.6970034670629026
92,92,591889,Malta,Amsterdam Maximator,9935,Imperial Pils/Strong Pale Lager,Grolsche Bierbrouwerij Ned. (Asahi),1,3.7,3.7,7,0.4,2.4
93,93,592099,Marshall Islands,Chimay Triple / Blanche (White) / Cinq Cents,52,Abbey Tripel,Chimay,2,8.100000000000001,4.050000000000001,2,0.8392156862745098,1.1284313725490196
94,94,592930,Mauritius,Budweiser,473,Pale Lager,Anheuser-Busch InBev,2,4.9,2.45,3,1.0,1.3571428571428572
95,95,596064,Mexico,Minerva Stout Imperial,73343,Stout,Cerveceria Minerva,27,98.1,3.633333333333333,226,1.097563902556102,2.324252970118805
96,96,597993,Micronesia,Whim Black Christmas,23998,English Strong Ale,Whim,1,2.0,2.0,1,2.0,2.0
97,97,599845,Moldova,Litra Pale Ale,334189,American Pale Ale,Litra Brewing Company,8,28.1,3.5125,18,1.9110453648915189,2.3577909270216963
98,98,601539,Monaco,Affligem Rouge,70227,Fruit Beer,Brouwerij Affligem / De Smedt (Heineken),1,1.6,1.6,2,1.0,1.1666666666666667
99,99,601545,Mongolia,Borgio,129162,Pale Lager,APU Company,1,4.0,4.0,1,Unknown,Unknown
100,100,601557,Montenegro,Nikićko Pivo,5991,Pale Lager,Trebjesa (MolsonCoors),3,13.1,4.366666666666666,6,0.5555555555555556,1.7777777777777777
101,101,601564,Montserrat,Art Toc dEspelta,178834,Specialty Grain,ArtCervesers,1,4.3,4.3,1,1.0714285714285714,2.5
102,102,601578,Morocco,Agullons Pura Pale,64416,English Pale Ale,Masia Agullons,1,3.4,3.4,3,0.4166666666666667,1.75
103,103,601590,Mozambique,21st Amendment / Elysian He Said (Baltic Porter),231058,Spice/Herb/Vegetable,21st Amendment Brewery,1,3.3,3.3,2,0.7502507522567703,1.9914744232698092
104,104,603607,Nagorno-Karabakh,Speights Triple Hop Pilsner,190830,Pilsener,Speights Brewery (Lion Breweries - NZ),1,1.5,1.5,1,1.0,1.0
105,105,603616,Namibia,Namibia Tafel Lager,8321,Pale Lager,Namibia Breweries,2,9.6,4.8,3,0.4666666666666667,1.5333333333333334
106,106,603623,Nepal,Boréale Rousse,1938,Amber Ale,Brasseurs du Nord,1,3.9,3.9,3,0.6923076923076923,2.3076923076923075
107,107,634610,Netherlands,Rochefort Trappistes 10,2360,Abt/Quadrupel,Brasserie Rochefort,207,898.5,4.340579710144928,1095,1.5850678214241618,2.30508616584058
108,108,647909,New Zealand,Epic Pale Ale,55245,American Pale Ale,Epic Brewing Company (NZ),58,223.6,3.855172413793104,453,1.621313073860405,3.0615909644917525
109,109,654896,Nicaragua,Cerveza Premium (Nicaragua),26300,Pale Lager,Compañía Cevercera de Nicaragua,1,5.0,5.0,3,0.0,0.0
110,110,654899,Nigeria,Gulder Lager (Nigeria),12805,Pale Lager,Nigerian Breweries PLC (Heineken),1,3.7,3.7,3,1.4,4.4
111,111,654928,Norfolk Island,Mikkeller Beer Geek Breakfast,53853,Stout,Lervig Aktiebryggeri,2,8.7,4.35,2,0.1818181818181818,0.1136363636363636
112,112,654953,North Korea,3 Fonteinen Schaarbeekse Kriek,24383,Lambic Style - Fruit,Brouwerij 3 Fonteinen,1,3.3,3.3,1,1.221070811744387,2.1364421416234887
113,113,657482,Northern Ireland,Guinness Draught,1267,Dry Stout,St. Jamess Gate (Diageo),5,18.0,3.6,57,1.4113023157000213,2.094327597195666
114,114,686271,Norway,Nøgne Ø India Pale Ale,28509,India Pale Ale (IPA),Nøgne Ø (Hansa Borg),115,454.3,3.950434782608696,672,1.644737041241014,2.613827721024089
115,115,700870,Oman,Castlemaine XXXX Gold Lager,1486,Pale Lager,Castlemaine Perkins (Lion Co.),1,1.3,1.3,1,1.0,2.0
116,116,700881,Pakistan,AleSmith Speedway Stout,14232,Imperial Stout,AleSmith Brewing Company,1,4.2,4.2,4,1.3333333333333333,3.592592592592593
117,117,700909,Palestine,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,1088,German Hefeweizen,Spaten-Franziskaner-Bräu &#40;InBev&#41;,1,1.0,1.0,2,0.375,2.375
118,118,701110,Panama,Paulaner Hefeweissbier Dunkel,648,Dunkelweizen,Paulaner Brauerei &#40;Schörghuber&#41;,6,22.2,3.7,19,1.0116279069767442,3.101744186046512
119,119,701213,Papua New Guinea,SP Lager Beer,73826,Pale Lager,South Pacific Brewery (Heineken),1,5.0,5.0,1,Unknown,Unknown
120,120,701231,Paraguay,Cerveceria Paraguayana Pilsen Cerveza Blanca,13114,Pale Lager,Cerveceria Paraguaya - Cervepar,3,8.0,2.6666666666666665,14,0.9420289855072465,2.0869565217391304
121,121,701410,Peru,Fullers 1845,294,English Strong Ale,Fullers,3,11.3,3.766666666666667,14,0.9207317073170732,0.5304878048780488
122,122,702042,Philippines,San Miguel Pale Pilsen,1168,Pale Lager,San Miguel,8,19.4,2.425,31,1.4454072790294628,2.348353552859619
123,123,718543,Poland,Pinta Imperator Bałtycki,242567,Baltic Porter,Browar na Jurze,279,1161.2,4.162007168458781,1701,0.6203068693137275,1.12094261188081
124,124,730434,Portugal,Sagres,7934,Pale Lager,Sociedade Central de Cervejas e Bebidas (Heineken Group),14,37.5,2.6785714285714284,95,1.7275298167957702,2.6403541128734784
125,125,731836,Puerto Rico,Medalla Light,7662,Pale Lager,Compañía Cervecera de Puerto Rico,6,16.0,2.6666666666666665,32,1.2972972972972974,3.6283783783783785
126,126,734804,Romania,Ursus Black,42118,Schwarzbier,Ursus Breweries  (SABMiller),15,48.1,3.2066666666666666,99,2.0637694851204533,3.1672177609825223
127,127,736579,Russia,Jaws Brewery Atomnaya Prachechnaya,170459,Imperial IPA,Jaws Brewery,23,94.3,4.1,196,0.9108896379891545,1.145537153744687
128,128,739048,Saint Helena,1795 Original Czech Lager Dark (Budejovické Pivo),53838,Dunkel/Tmavý,Budějovický Mětanský Pivovar,1,3.0,3.0,2,2.697986577181208,2.5704697986577187
129,129,739495,Saint Lucia,B&T Shefford 37° South,217778,Golden Ale/Blond Ale,B&T Brewery,1,3.8,3.8,1,0.0,3.0
130,130,739496,Saint Vincent and The Grenadines,Shepherd Neame 1698,4143,English Strong Ale,Shepherd Neame,1,3.2,3.2,1,0.0,1.0
131,131,739497,San Marino,Birrificio Italiano Tipopils,11493,Pilsener,Birrificio Italiano,1,4.8,4.8,2,0.0,0.5
132,132,739506,Saudi Arabia,Alaskan White Ale,87973,Witbier,Alaskan Brewing Company,1,2.1,2.1,1,1.375,6.214285714285714
133,133,750900,Scotland,Fyne Ales Jarl,125300,Golden Ale/Blond Ale,Fyne Ales,46,172.1,3.741304347826087,378,1.5088829098975127,2.7074698597219085
134,134,771647,Serbia,Jelen Pivo,12285,Pale Lager,Apatinska Pivara (MolsonCoors),15,43.5,2.9,79,1.5118653421633554,2.4928256070640176
135,135,774376,Singapore,Tiger Beer,3126,Pale Lager,Singapore Brewery (Asia Pacific Breweries-Heineken),8,14.4,1.8,58,2.7293233082706765,5.1762740183792815
136,136,774538,Sint Maarten,Belzebuth 13°,4489,Belgian Strong Ale,Grain dOrge (Brasseurs De Gayant),1,4.3,4.3,1,0.5,2.0
137,137,779473,Slovak Republic,Kaltenecker Chopper IPA Grand Champion 2012,200966,India Pale Ale (IPA),Pivovar Kaltenecker,21,75.3,3.5857142857142854,93,1.2812424252917345,1.982478617680668
138,138,786104,Slovakia,Aecht Schlenkerla Rauchbier Märzen,1269,Smoked,Brauerei Heller,1,2.2,2.2,2,0.0826446280991735,0.2066115702479338
139,139,786743,Slovenia,Bevog Kramah India Pale Ale,213316,India Pale Ale (IPA),Bevog Brewery,15,59.8,3.9866666666666655,113,1.9461713419257007,3.666197335643886
140,140,791618,South Africa,Castle Lager,4497,Pale Lager,South African Breweries (SABMiller),20,47.9,2.395,176,1.678357747060037,3.0338353620796368
141,141,794044,South Korea,Hoegaarden,399,Witbier,Brouwerij Hoegaarden (AB-InBev),6,22.9,3.8166666666666655,63,1.0824324324324324,2.667567567567568
142,142,810232,Spain,Tripel Karmeliet,5368,Abbey Tripel,Brouwerij Bosteels (AB-InBev),82,339.7,4.142682926829268,835,0.8196172864469403,1.327696182055477
143,143,811738,Sudan,Erusbacher Bräu Naturtrüeb,9378,Zwickel/Keller/Landbier,Erusbacher & Paul,1,4.1,4.1,1,0.6666666666666666,1.6666666666666667
144,144,823883,Sweden,Chimay Bleue (Blue) / Grande Réserve,53,Belgian Strong Ale,Chimay,150,584.2,3.894666666666667,1004,1.5424624606690829,1.7812547822289573
145,145,872247,Switzerland,BFM La Torpille,5924,Belgian Strong Ale,BFM (Brasserie des Franches-Montagnes),23,82.0,3.565217391304348,199,1.7471695562540133,2.7632228192909527
146,146,887802,Syria,Al-Chark,17686,Pale Lager,Al-Chark Brewery,1,3.0,3.0,2,1.0,2.0
147,147,888134,Taiwan,Chimay Bleue (Blue) / Grande Réserve,53,Belgian Strong Ale,Chimay,8,31.5,3.9375,46,1.222281735404392,2.4483128012854847
148,148,889383,Tajikistan,Franconia Lager,88064,Premium Lager,Franconia Brewing Company,1,4.9,4.9,1,0.0,0.0
149,149,889388,Tanzania,Castle Lager,4497,Pale Lager,South African Breweries (SABMiller),2,5.8,2.9,4,0.4166666666666667,2.083333333333333
150,150,895066,Thailand,Leo Beer,17078,Pale Lager,Boon Rawd Brewery,7,21.2,3.0285714285714285,47,1.1465039887376818,2.2277803847958704
151,151,899657,Tibet,Westvleteren 12 (XII),4934,Abt/Quadrupel,Westvleteren Abdij St. Sixtus,1,5.0,5.0,1,1.0,3.0
152,152,899658,Togo,Agassiz Catfish Cream Ale,9907,Cream Ale,Northern Breweries,1,3.7,3.7,1,1.0,2.5
153,153,899660,Trinidad and Tobago,Costa Ricas Segua Red Ale,136438,Irish Ale,Costa Ricas Craft Brewing Co.,1,4.9,4.9,2,3.0,1.6666666666666667
154,154,899663,Tunisia,Celtia,13840,Pale Lager,Société Frigorifique et Brasserie de Tunis (SFBT),3,13.9,4.633333333333334,5,0.3333333333333333,1.3333333333333333
155,155,900536,Turkey,Efes Pilsen (Pilsener),3922,Pilsener,Anadolu Efes,22,67.0,3.0454545454545454,81,2.085968121243794,1.9320616671021689
156,156,903010,Tuvalu,Malduguns Zaļā Bise (Amarillo),297348,India Pale Ale (IPA),Malduguns,1,3.9,3.9,1,0.0,3.0
157,157,903011,Uganda,Bradfield Farmers Blonde,58451,Golden Ale/Blond Ale,Bradfield,1,2.6,2.6,2,1.5555555555555556,3.4444444444444446
158,158,904054,Ukraine,Lvivske Porter,25805,Baltic Porter,Lvivska Pivovarnya (Carlsberg),11,39.1,3.5545454545454547,61,1.101921470342523,1.56390977443609
159,159,905185,United Arab Emirates,Brooklyn Summer Ale,63840,Golden Ale/Blond Ale,Brooklyn Brewery,1,2.3,2.3,4,1.0,1.8333333333333333
160,160,908069,"United States, Alabama",Chimay Bleue (Blue) / Grande Réserve,53,Belgian Strong Ale,Chimay,43,178.9,4.16046511627907,821,1.6514898300248644,3.193412953980353
161,161,918727,"United States, Alaska",Alaskan Smoked Porter,16,Smoked,Alaskan Brewing Company,13,53.4,4.107692307692307,78,1.428245777639623,2.575898870583359
162,162,926755,"United States, Arizona",Arrogant Bastard Ale,1315,American Strong Ale,Arrogant Brewing,68,274.4,4.035294117647059,509,1.8298468434815087,4.09956730170589
163,163,950009,"United States, Arkansas",Rochefort Trappistes 10,2360,Abt/Quadrupel,Brasserie Rochefort,53,229.2,4.324528301886792,186,1.6923433874709977,3.769528228924981
164,164,1001514,"United States, California",Russian River Pliny the Elder,8936,Imperial IPA,Russian River Brewing,403,1756.5,4.358560794044665,2804,1.7240973928419272,3.3458752830907907
165,165,1045118,"United States, Colorado",Russian River Pliny the Elder,8936,Imperial IPA,Russian River Brewing,111,478.0,4.306306306306307,774,2.0943925803892856,3.79241302964532
166,166,1062759,"United States, Connecticut",Rochefort Trappistes 10,2360,Abt/Quadrupel,Brasserie Rochefort,31,132.8,4.283870967741936,286,1.7792371545655143,3.179573394977409
167,167,1073544,"United States, Delaware",Yuengling Traditional Lager,884,Amber Lager/Vienna,Yuengling Brewery,15,43.6,2.9066666666666667,95,1.877479160678356,3.536289163552745
168,168,1101608,"United States, Florida",St. Bernardus Abt 12,2530,Abt/Quadrupel,St. Bernardus Brouwerij,164,686.3,4.184756097560975,1269,1.8263466506294168,3.5054262400393643
169,169,1126140,"United States, Georgia",Sweetwater IPA,177,India Pale Ale (IPA),Sweetwater Brewing Company,101,395.5,3.915841584158416,725,1.8554980285451543,3.689669072723379
170,170,1129944,"United States, Hawaii",Guinness Draught,1267,Dry Stout,St. Jamess Gate (Diageo),9,32.3,3.588888888888889,54,1.735266604303087,3.600093545369504
171,171,1141704,"United States, Idaho",North Coast Old Rasputin Russian Imperial Stout,680,Imperial Stout,North Coast Brewing Company,24,98.2,4.091666666666667,140,1.6506198679761712,3.3025009391939038
