,Unnamed: 0,index,location,beer_name,beer_id,style,brewery_name,count,cumulated_rating,normalized_rating,count_user,neg_words,pos_words
0,0,0,Abkhazia,Dieu du Ciel Rigor Mortis Abt,16689,Abt/Quadrupel,Dieu du Ciel,1,5.0,5.0,3,1.5,2.833333333333333
1,1,6,Afghanistan,A. Le Coq Pils,139533,Czech Pilsner (Světlý),Lidskoe Pivo (Olvi),1,4.8,4.8,8,1.4545454545454546,2.636363636363636
2,2,29,Albania,Birra Tirana,5423,Pale Lager,Birra Malto,1,2.4,2.4,4,0.3333333333333333,2.5
3,3,35,Algeria,3 Fonteinen Oude Geuze,11168,Lambic Style - Gueuze,Brouwerij 3 Fonteinen,1,1.7,1.7,2,0.8928571428571429,1.9642857142857144
4,4,72,American Samoa,Jacob Best Premium Light Beer,10638,Pale Lager,Miller Brewing Company &#40;MillerCoors&#41;,1,5.0,5.0,1,0.0,1.0
5,5,144,Andorra,Estrella Damm (5.4%),8572,Pale Lager,Damm,2,3.4000000000000004,1.7000000000000002,9,2.099378881987578,3.919254658385093
6,6,234,Antigua and Barbuda,Jászapáti Blonder Bier Lados-Habos Világos Sör,120074,Pale Lager,Lados Sörfőzde - Jászapáti Blonder Bier Sörfőzde,1,4.5,4.5,1,0.0,0.0
7,7,569,Argentina,Quilmes Cristal,7485,Pale Lager,Cerveceria Malteria Quilmes SAICAY (InBev),13,21.6,1.6615384615384616,76,0.4054054054054054,0.920608108108108
8,8,661,Armenia,Aleksandrapol Premium Beer,143008,Pale Lager,Shirak Gyumri Beer-Malt Factory CJSC,1,3.3,3.3,3,0.6,2.2
9,9,856,Ascension Island,Meantime Coffee Porter,40803,Baltic Porter,Meantime &#40;Asahi&#41;,2,5.800000000000001,2.9000000000000004,3,1.4987212276214834,2.790281329923274
10,10,12438,Australia,Little Creatures Pale Ale,7658,American Pale Ale,Little Creatures Brewing (Lion Co.),199,741.5,3.726130653266332,1476,2.015767473311067,3.690756715775669
11,11,22903,Austria,Bevog Kramah India Pale Ale,213316,India Pale Ale (IPA),Bevog Brewery,15,56.1,3.74,126,2.298718765484533,3.1007998867417004
12,12,29999,Azerbaijan,33 Export,41043,Pale Lager,Heineken (France),1,4.3,4.3,5,0.8333333333333334,3.25
13,13,30013,Bahamas,Kalik,8682,Pale Lager,Commonwealth Brewery (Heineken),3,5.4,1.8,7,0.75,2.25
14,14,30017,Bangladesh,AleSmith Speedway Stout,14232,Imperial Stout,AleSmith Brewing Company,1,3.1,3.1,2,2.6666666666666665,2.466666666666667
15,15,30032,Barbados,10 Saints Hand Crafted Beer Aged in Rum Casks,177085,Premium Lager,10 Saints Brewery Company LTD,1,4.9,4.9,2,0.0,2.0
16,16,30975,Belarus,Brew Team Cafe com Leite,412691,Sweet Stout,Brew Team Brewery,7,27.3,3.9,22,1.4072696050372069,1.7489982827704635
17,17,64710,Belgium,Westvleteren 12 (XII),4934,Abt/Quadrupel,Westvleteren Abdij St. Sixtus,221,1002.3,4.535294117647059,1027,1.971649419854608,2.695547059955328
18,18,65971,Belize,Balboa,8759,Pale Lager,Cerveceria Nacional Panama (SABMiller),1,2.5,2.5,3,1.1666666666666667,1.3333333333333333
