country,neg_words,pos_words,nb_review
"United States, Michigan",2.2848920863309354,4.0189448441247,4170
"United States, Minnesota",1.7255946300890121,3.385670509266015,27412
"United States, Mississippi",1.4835164835164836,2.857142857142857,91
"United States, Missouri",1.6466575716234653,3.400181900864029,2199
"United States, Montana",1.68,3.395,200
"United States, Nebraska",1.6516894320632638,3.152767792954709,2782
"United States, Nevada",1.1237244897959184,2.8698979591836733,784
"United States, New Hampshire",2.263506299380739,4.039504591074098,4683
"United States, New Jersey",1.3911285794497474,2.8151600224592923,8905
"United States, New Mexico",1.9583333333333333,3.2142857142857144,168
"United States, New York",1.7090388121906745,3.3038551706173482,7678
"United States, North Carolina",1.628721859114016,3.403110626966836,16524
"United States, North Dakota",1.5072992700729928,3.394160583941606,274
"United States, Ohio",1.8291594076655053,3.860191637630662,9184
"United States, Oklahoma",1.8384279475982532,3.4017467248908297,229
"United States, Oregon",1.6480659480025364,3.5529486366518706,1577
"United States, Pennsylvania",1.7983102399459276,3.103548496113552,14795
"United States, Rhode Island",2.0643776824034337,3.523605150214592,233
"United States, South Carolina",1.702188940092166,3.735599078341014,1736
"United States, South Dakota",1.2447552447552448,2.4405594405594404,143
"United States, Tennessee",1.564849439086794,2.7854753001377683,5081
"United States, Texas",1.4160887656033287,2.323855755894591,5768
"United States, Utah",1.1602434077079107,2.4421906693711968,493
"United States, Vermont",2.857652515162326,6.2115590438815556,2803
"United States, Virginia",1.5816458982346833,2.851116303219107,7704
"United States, Washington",1.618405724746214,3.4256947911466136,6009
"United States, West Virginia",0.9853249475890985,2.207547169811321,477
"United States, Wisconsin",1.9629141014365288,3.354734681911463,6822
"United States, Wyoming",2.547169811320755,5.317610062893082,318
Venezuela,4.1,6.4,10
Virgin Islands (U.S.),0.3333333333333333,4.0,3
Wales,2.0,2.0,1
